promedio;promedio
x;y
162,3670349;187,9448242
162,9808045;188,2769242
163,2968216;188,5031281
163,4750214;188,6130829
163,5888901;188,6990738
163,8719483;188,9317093
163,9101944;188,8924408
164,0881119;189,0491562
164,0984574;189,2458954
164,2415466;189,4207764
164,288208;189,6530228
164,334549;189,8848724
164,6581879;190,0343552
164,6420212;190,1047974
164,5965271;190,1796952
164,723465;190,4153672
164,7107849;190,6200715
164,7847977;190,6691971
164,8202972;190,7348175
164,8390808;190,7432175
164,8580475;190,8564758
164,8376312;191,0196152
164,8439865;190,9714203
164,8222122;191,0462952
165,0026016;191,1216965
164,9955368;191,0967255
164,9950562;191,5214844
166,4679032;191,3866959
169,2029648;191,7010727
171,0525055;191,7481003
171,5919419;191,5947723
172,044487;191,6345368
172,1402969;191,6008072
172,4966355;191,6140824
172,7338334;191,668396
172,7408905;191,6695709
173,0577316;191,7863159
173,0581742;191,7834091
173,1781998;191,8950882
173,1499024;192,0098114
173,2694016;191,8939133
173,3229981;192,0694809
173,4557343;192,1132355
173,4559555;192,1159287
173,6453247;192,0856934
173,5424957;192,3350449
173,6627655;192,2292405
173,6308746;192,3178253
174,0730515;192,6591873
174,0286637;192,6304016
174,0426178;192,6665268
174,0690613;192,7755738
174,0229264;192,7982559
174,8034668;193,5943832
178,1479264;193,0242157
179,3508683;192,8929139
180,035408;192,9179459
180,4395523;192,9293671
180,4809876;193,0688553
180,7304001;193,0366364
180,8105851;193,1159897
180,8850251;193,21521
180,9796067;193,2304078
181,0671158;193,3251343
181,0963364;193,3673325
181,2915268;193,4433899
181,3021164;193,7291489
181,2860718;193,6700897
181,4019241;193,7495957
181,6409531;194,6556321
181,6182785;194,6648712
181,7797852;194,6626282
181,6358719;193,9279786
183,9693528;194,8695679
188,2223969;193,963234
191,9575882;193,9615326
193,2281952;193,9779587
193,8116989;193,9881745
194,108635;193,8780213
194,4286271;193,9756241
194,5072098;194,1929398
194,5847092;194,1390534
194,7032547;194,3533478
194,8196411;194,4308472
194,8943482;194,5356751
195,0302353;194,6270523
195,2280274;194,6228561
195,3895264;194,8244248
195,3915405;194,9076844
195,5801239;194,9885483
195,8352356;194,9359665
196,4718323;195,7548599
196,6779404;195,9479218
196,7227783;195,8676224
196,8859787;195,8159256
196,9226227;196,0562363
196,9965439;196,3939972
196,8550873;195,8459015
199,1196137;196,1979141
203,1189652;195,9504395
205,9516144;196,258667
207,1154099;196,220192
208,1300125;196,0843201
208,8493576;196,5901032
209,0685349;196,7361527
209,3969269;196,9482117
209,7102738;197,1842041
209,8716431;197,1795807
209,814415;197,2634507
209,8668595;197,3569717
209,6181488;197,3751374
209,7724991;197,3681412
209,9674454;197,3395615
210,0483551;197,4852906
210,1416245;197,6898575
210,1439515;197,8125077
210,1314087;198,1231919
210,2749786;198,1805344
210,2145768;198,2599106
211,175293;198,2833176
214,6540299;198,8120423
217,4834976;200,061203
218,3000717;200,4074173
218,875145;200,5848389
219,2661667;200,6352005
219,5761643;200,7472229
219,8822327;200,7582245
220,3084107;200,946373
220,4305878;201,0827255
220,8702088;201,2991562
220,9451065;201,2569275
220,9291687;201,3529587
221,1075745;201,2857895
221,1705704;201,3488541
221,3756332;201,4461594
221,339798;201,5392075
221,5335236;201,5575638
221,3848267;201,733284
221,5810166;201,7888718
221,503685;201,8006669
221,7614822;201,9918976
221,8309555;202,0082245
221,9028092;202,2040711
221,8772049;202,1586152
222,2379837;202,1645355
222,193779;202,1651001
222,3134003;202,1544647
222,2125855;202,5285645
222,4175186;202,4685441
222,6139298;202,855423
222,657814;202,9382096
222,6450272;202,9827881
221,6589051;201,2334595
222,6631623;195,0819321
225,6509705;192,1741944
227,6493683;190,9901352
228,276207;190,9144745
228,7004319;190,5995636
228,8718262;190,2782669
229,0479584;190,1415634
229,0978241;190,0017319
229,1456757;189,8662873
229,2384262;189,8897095
229,3998261;189,9028397
229,4858704;190,062706
229,5301438;190,07444
229,4752426;190,1459885
229,4732743;190,262146
229,5727768;190,5378799
229,5500565;190,6558304
229,172638;190,703598
230,0006561;188,500145
233,4891358;185,7875672
236,6662445;183,8550492
238,7036972;182,8988037
239,3822327;182,4532166
239,933815;182,3729706
240,4050751;182,3137589
240,9093323;182,4727631
241,2408829;182,3399963
241,2716828;182,1146317
241,4280472;182,2160263
241,744133;182,3358612
241,765976;182,2898331
241,9918747;182,3589706
242,1336975;182,4321747
242,209404;182,4296952
242,3240662;182,7170563
242,5262375;182,9016953
242,5543213;182,9887925
242,7154083;183,2342911
242,7788391;183,2414017
242,8807221;183,52565
242,9447327;183,5084152
242,9626084;183,6015091
243,0323563;183,7204209
243,0972748;184,0061188
243,1166077;183,9769669
243,2653046;184,1789627
243,4453964;184,282692
243,4844666;184,3929901
243,6558075;184,6103592
243,6658325;184,6331559
243,8485565;184,7912598
243,8278732;184,8333359
243,8277283;184,8811264
243,9542618;185,0020371
243,9706498;185,1220322
244,2514496;185,2424012
244,2917634;185,2681656
244,1893387;185,503479
244,2326508;185,5717698
244,3102036;185,7662506
244,3486557;185,8968125
244,517807;186,2393875
244,5852128;186,2578812
244,6152497;186,1432038
244,5793381;186,120781
244,6278611;186,3321381
244,7728577;186,4435196
244,2319794;185,3982697
244,6581803;182,6536636
245,8589478;181,6641617
246,291069;181,4804459
246,4094773;181,2861252
246,4237824;181,1970902
246,5101929;181,1593933
246,9619675;181,192482
246,9910508;181,0497666
246,5648728;181,4084931
246,6001435;181,5438538
247,0919648;181,6241226
247,1212845;181,7864685
247,1748963;182,0442429
247,1858368;181,9745789
247,248436;182,2153931
246,8345947;182,5718384
246,7924728;182,8137589
246,8027115;183,0076523
246,8405457;183,1455841
246,6421128;182,8675461
247,8320084;180,841362
249,6328659;178,9715271
250,4439163;178,3517609
250,8592148;178,3551484
250,9473877;178,21418
251,027855;178,2049103
251,1829605;178,2562027
251,3315201;178,2848664
251,4614792;178,3872833
251,6859818;178,7842789
251,7643891;178,9007416
251,8753586;179,1436463
251,9090882;179,1814652
252,0680008;179,2339172
252,0716629;179,2971649
252,1758881;179,4469223
252,1050492;179,4996186
252,1796418;179,5961838
252,1584244;179,6869965
252,1658402;179,8714295
252,4792557;179,8046189
254,5774842;175,9957657
256,9551621;173,0111847
257,7009659;171,9143143
258,364502;171,5254669
258,604599;171,2751084
258,8164673;171,2094422
259,1222382;171,2774353
259,2544861;171,1780701
259,4378052;171,2684937
259,3798981;171,3121033
259,5118408;171,3469162
259,7456513;171,4660263
259,74823;171,4593353
259,7225342;171,4942856
259,7616425;171,7359619
259,7108002;171,7144623
260,0958557;171,9013519
260,0550232;171,8197175
260,5567475;171,7718201
260,4654846;171,8413925
260,3946228;172,1862717
260,3517151;172,2079392
260,4563446;172,481575
260,4669037;172,4766236
260,6683808;172,6893616
260,6256104;173,0665512
260,7629547;173,3483735
260,7732239;173,4977799
260,7680054;173,4768524
260,7670898;173,9227982
260,7776947;173,9451142
260,8026276;174,0689926
260,830246;174,145752
260,8961945;174,4507981
260,9342957;174,4828034
260,7001953;174,2563629
260,4249573;171,9640656
261,2515564;170,6056748
261,6257782;169,9689713
261,6943512;169,9227143
261,7797394;169,9484177
261,8133545;169,7974548
261,8197022;169,8199539
261,863678;169,8811493
261,9092255;169,8501969
261,9590302;170,0049286
261,9831085;170,0403214
261,9877777;170,1000367
261,9584198;170,3617172
261,9405213;170,3555603
262,1493836;170,4354706
262,1333313;170,4652481
262,1836701;170,594635
262,1706085;170,9663925
262,2046814;170,9377442
262,2717896;171,0054474
262,3314972;171,1480866
262,7788086;170,9199143
262,7867432;171,0527192
262,8311157;171,0232315
262,8435517;171,3481979
262,8582306;171,3683701
262,9672394;171,5431671
262,9308625;171,6130447
262,9097138;172,0653992
262,9456787;172,0205536
262,9566956;172,2572861
263,0094299;172,2697601
262,6697388;171,2743989
263,0362549;169,7522354
264,2131805;167,8907776
264,5964966;167,4215317
264,6635132;167,439148
264,7337036;167,4163666
264,8898011;167,3645859
264,9643555;167,3536911
264,9681092;167,3569031
264,929245;167,6686707
265,0709687;167,5138932
265,1620331;167,5816117
265,2716064;167,5871353
265,3257446;167,650116
265,4492646;167,6671524
265,3917389;167,6283417
265,5746766;167,770073
265,5887909;167,8008271
265,4620514;168,3202744
265,5556489;168,3400574
265,5850983;168,5694962
265,6630249;168,5502777
265,6944275;168,7747879
265,8045197;168,8938904
265,4993287;169,0002518
266,3859864;166,7572861
267,2967835;164,0418167
267,5556488;163,6388779
267,6560974;163,4821396
267,817276;163,4214172
268,0813751;163,2747345
268,0226135;164,1482621
268,1358948;164,2757492
268,2508698;164,2849274
268,2575684;164,4962235
268,2399445;164,4961014
268,4138489;164,7247239
268,4296417;164,7041855
268,4595184;164,8701859
268,5931396;165,0485917
268,591919;165,1404419
268,75177;165,4740524
268,9160156;165,5225601
268,8966675;165,5100251
268,9059906;165,7249298
268,901413;166,0313034
268,9829254;166,0673447
268,9401703;166,2474442
268,9306794;166,3343735
269,0552216;165,2499085
269,3611603;163,1316605
270,2667694;161,8408127
270,4793091;161,2793656
270,4564514;161,1624375
270,5838013;161,1502228
270,5929413;161,1989289
270,6330261;161,344841
270,7880249;161,4335709
270,8896942;161,5892563
271,0322266;161,5883408
271,0110321;161,682869
271,1260071;161,8615646
271,1691895;161,8622284
271,0963746;162,1380615
271,1646118;162,1360093
271,0407563;162,4368897
271,2101898;162,5592881
271,2140656;162,6063843
271,3045197;162,8250961
271,3599396;163,0853119
271,3434754;163,2448273
271,1818695;163,4864426
271,2891083;161,0917358
271,6014099;157,3271561
271,8226319;154,6407471
272,2113342;154,0439911
272,3054352;153,7183609
272,42305;153,7424012
272,3478394;153,5272293
272,3905335;153,5135498
272,3725891;153,6222992
272,4775544;153,5511551
272,5134278;153,7604446
272,5769806;153,808342
272,5991974;153,7606965
272,5300903;153,7364273
272,5955963;153,8503418
272,7035675;154,2744141
272,7137604;154,1942063
272,7253876;154,2385102
272,8961029;154,1012574
272,8983307;154,1305237
272,9112244;154,4760437
272,9588928;154,4851074
272,6216431;153,518692
273,8881226;150,6775131
274,1609803;148,331749
274,4510041;147,650467
274,4967499;147,2540131
274,5616303;147,1878662
274,5918579;146,992012
274,6482086;146,96418
274,9057159;146,7119599
274,9065247;146,7569046
274,9287415;146,7104645
275,0019532;146,78685
275,0971985;146,8701172
275,1405487;146,950882
275,1277314;147,0529938
275,0675659;147,096817
275,0346527;147,4187393
275,0876312;147,4819947
275,1773072;147,6557312
275,2030487;147,7485199
275,3076477;147,9359436
275,3089295;147,9410248
275,3379212;147,97892
275,4154816;148,2043534
275,4983521;148,2474899
275,4991455;148,36055
275,5183869;148,4700318
275,5886993;148,6202088
275,6446076;148,7209854
275,6349793;148,7807389
275,6786042;148,9714737
275,6709748;149,0429459
275,578064;149,4975281
275,6190186;149,5259552
275,6470948;149,8208923
275,66391;149,848198
275,6309967;150,0722504
275,6081238;150,3787995
275,6864929;150,5778428
275,8302613;150,9753952
275,8456574;151,0173874
275,9147492;151,4068604
275,9333038;151,4040375
275,9112091;151,5658875
275,9246216;152,1331635
275,9228516;152,1896057
275,9523774;152,5457917
275,9346924;152,4744874
275,9390412;152,5687104
276,0667115;152,9989014
276,0377197;153,047554
276,0744477;153,117981
276,1390839;153,4477387
271,4295197;153,0233383
267,2572785;151,3814545
265,3812714;149,4961014
264,0829773;148,6157608
263,801239;148,7693024
263,7911835;149,3212967
263,7998047;149,7169647
263,8017273;150,1405106
263,5986176;150,5171204
263,5439606;150,9468918
263,4581452;151,3292237
263,4472656;151,774231
263,1428986;151,9851303
263,2085724;152,4444733
263,2643433;152,7937088
263,4792023;152,9694672
263,2455292;153,4808731
263,2853089;153,565773
263,3484955;153,8335877
263,2503815;154,1488953
263,5023804;154,3908081
263,5874329;154,5091629
263,4798279;154,7943955
263,5074921;154,862648
263,5461731;155,0058823
263,6385803;155,1753388
263,6174927;155,2479782
263,6966095;155,5830689
263,7355805;155,7555771
263,6686554;155,491806
263,7038269;155,6204071
263,6650391;155,7399979
263,6330872;155,7245941
263,684845;156,3466187
263,6906433;156,3082047
263,7397614;156,6540146
263,6735687;156,754715
263,7830353;157,1004715
260,2634583;159,4073258
255,8088532;160,3881836
252,875557;159,9019241
251,40065;158,5926056
250,8891983;158,4553604
250,5218277;158,9348831
251,1867676;159,7587815
251,1712494;160,0444107
251,2661896;160,2890244
251,2872239;160,5483093
251,2851105;160,7912293
251,4196091;161,094162
251,4875794;161,297165
251,5986557;161,6507798
251,4952393;161,8171082
251,4792099;162,1572724
251,075325;162,1045304
251,5329666;162,5217438
251,0374909;162,4232865
251,0733261;162,7024842
251,2029266;162,884964
251,2164154;163,3285828
249,6158524;163,5367432
247,5655518;162,6868896
246,6086655;162,4642258
246,3073731;162,4581452
246,1390076;162,6516572
246,0091095;162,6431427
245,9134445;162,8694763
245,8516998;162,9847183
245,8885422;163,3284226
245,9080582;163,310112
246,0158081;163,5059739
245,868454;163,6072464
245,7171936;163,7516327
245,9262772;164,1854706
245,9393234;164,3211746
246,2490082;164,2506943
246,1766282;164,2962723
246,2236786;164,4693527
246,394867;164,7500763
246,5139084;165,1113129
246,5120773;165,3369751
246,5286255;165,4984207
246,5478134;165,5730438
242,8888474;174,9112091
238,6885987;176,2527237
238,2315903;177,6761093
238,0179367;178,3025666
237,8925324;178,8183365
238,0262833;178,8175125
238,3738862;179,0020218
238,5267868;179,4461899
238,6057892;179,7205505
238,2045746;179,7387467
238,283989;180,1083603
238,3838882;180,6303024
238,5180283;180,885994
238,5538331;180,9858475
238,4118042;181,4722672
238,6914368;181,6085282
238,2340012;182,0919266
238,3789444;182,4212647
239,0272065;183,1279374
237,3667298;184,0126648
234,3143845;185,0043564
233,5664597;185,0634384
233,5139923;185,5182038
233,361084;185,6805801
233,3815842;186,0286484
233,2961503;185,9589157
233,3721085;186,1891174
233,3422165;186,2162247
233,3768234;186,5207444
233,4877701;186,5366287
233,5334549;186,7230072
233,477295;186,8850937
233,3770447;186,9662476
233,5451203;187,1415634
233,496521;187,3073273
233,4894486;187,567337
233,5680695;187,6245346
233,6903839;187,8137055
233,7983704;188,0673294
233,8795166;188,1124192
233,86689;188,39991
233,857811;188,4382859
233,2429505;189,3929749
236,1242142;197,0290909
233,5846634;199,3289872
231,8928757;202,638855
231,8713761;203,4196702
231,9318848;203,9721604
232,0907135;204,3304825
232,308487;204,4855652
232,3983612;204,6835861
232,5327378;204,7515564
232,7963104;204,9297638
232,8365021;205,0025177
233,1576996;205,3781052
233,2724991;205,449707
233,4585343;205,7555924
233,5250397;205,7344208
233,7368088;206,0241776
233,7296524;206,1034851
233,8552323;206,263176
233,8573608;206,5483704
233,8094712;206,7134018
233,8403778;206,8901596
233,9979859;207,0468903
233,9974823;207,1123886
234,0977097;207,2039719
233,969841;207,4928895
234,0008164;207,6849366
233,9158173;207,7319413
234,0290527;207,8944016
234,0626145;207,9670029
233,9476929;207,9293289
233,9938355;208,293808
233,9717789;208,4945221
234,1386109;208,6319351
233,9982147;208,6518326
234,0885926;208,744072
234,352829;209,2765961
234,4916993;209,269783
235,0751725;209,9568558
253,2363587;215,1267853
260,6968537;219,99086
266,4940643;224,7320099
267,4331055;226,3280334
268,042862;226,9585571
268,8427735;226,1321411
269,3408203;226,1853561
269,4638519;226,4635162
269,6212006;226,3352127
269,7699585;226,285492
270,0322418;226,7834244
270,2293701;227,0073624
270,1994476;227,2645569
270,4643097;227,3289643
270,7283783;227,5885162
270,7376557;227,6644135
270,7354431;227,9797135
270,7469025;228,2863236
270,8391724;228,3100815
271,2390747;228,3297043
271,3500519;228,4477997
271,4676209;228,5304795
271,6950989;228,6077805
271,5829468;228,9967651
271,7130737;229,0986252
271,9770661;229,4459381
271,9268341;229,6508332
272,0550385;229,5390168
272,3079071;229,8447342
272,4071503;229,792244
274,334671;231,0302353
275,1375885;233,185791
275,6897126;234,0521393
276,0741425;234,7864227
276,0707245;235,3556366
276,046753;235,6236191
276,1546326;235,8179627
276,4002533;236,1847611
276,2215424;236,2897263
276,2379609;236,8696518
276,0933686;237,0591279
276,0890656;237,685997
276,114563;237,8672028
275,9137726;237,6184769
275,9814148;237,9025193
276,0411072;238,0270386
276,1840515;238,3113556
276,3200684;238,4895707
276,5003815;238,5825043
276,3383332;239,0104523
276,2283936;238,9326935
276,2350617;239,3564682
276,3487244;239,8562622
276,5896607;239,8820877
276,5333557;240,0654145
276,393097;240,1747513
276,4681702;240,2726059
276,328949;240,5619049
276,38237;240,6753235
276,6419525;241,1490097
276,6264801;241,2265091
276,5201111;241,6476135
276,6474915;241,8369064
276,699173;241,9965897
276,7890015;242,1150208
276,7556305;242,2390366
276,7156677;242,6501618
276,9109955;242,778389
276,829071;243,0151215
276,7992859;243,583313
276,9590149;243,5635605
276,9132538;244,0315247
277,0177155;243,9077835
276,9588165;244,2251435
276,8199311;244,2301178
280,1008911;240,8760452
288,8586884;227,1863556
292,4598999;228,5145722
293,2831727;227,3067703
292,8817139;226,6121063
292,4748078;226,0677796
292,2654267;225,8623734
291,9332581;225,682518
291,7944642;225,6325607
291,6096192;225,5038758
291,3041992;225,3809815
290,982132;225,3613968
290,8028717;225,3981705
290,5999756;225,3696442
290,5096436;225,4045029
290,451294;225,4455796
290,0395508;225,7525025
289,9757843;225,7273941
289,9772339;225,8010865
289,8418885;225,8542405
289,7696533;226,14888
289,6645661;226,1649094
289,7173005;226,0982361
289,5080414;225,8516694
289,0904999;212,9749909
291,9063416;211,0385819
293,5046692;208,5543518
294,5456848;208,5254898
294,330719;208,2472077
294,2555848;208,1331864
294,0446778;207,9788742
293,8473206;208,0626374
293,7025147;208,2389755
293,5463257;208,3715591
293,4701539;208,5706558
293,5489045;208,705246
293,315445;208,7722931
293,1949921;208,8204728
293,1089631;208,8958588
293,0118408;209,1217499
293,0147095;209,3900528
292,9921875;209,4250641
292,8881073;209,7664719
292,907959;209,8784943
292,8599091;209,9973908
292,7895203;210,2855759
292,6783905;210,8861542
292,7238007;210,929245
292,7108307;211,0959244
292,7906342;211,0658646
292,6372071;211,2244034
292,7398529;211,6099854
292,6266174;211,6828156
